1,4854.3237,12964.2679,北京
2,4740.310102,13046.64432,天津
3,3661.353412,13523.09174,上海
4,3450.956288,11859.97855,重庆
5,3499.694207,10142.31881,拉萨
6,5429.917871,9760.492953,乌鲁木齐
7,4646.035476,11829.92229,银川
8,4985.82785,12428.82115,呼和浩特
9,2612.680779,12059.24044,南宁
10,5740.376657,14096.38712,哈尔滨
11,5446.890649,13953.89817,长春
12,5131.067337,13734.59877,沈阳
13,4583.664675,12743.85531,石家庄
14,4561.077416,12526.7823,太原
15,4377.952638,11325.64499,西宁
16,4390.432942,13024.38042,济南
17,4131.313746,12645.89415,郑州
18,3768.562396,13222.52912,南京
19,3744.94745,13054.43669,合肥
20,3537.014392,13379.4896,杭州
21,3008.992665,13280.41525,福州
22,3334.97991,12900.81579,南昌
23,3275.475878,12579.10246,长沙
24,3570.567653,12724.93099,武汉
25,2651.379434,12604.70594,广州
26,4304.750112,11547.17078,兰州
27,4065.114306,12128.25852,西安
28,3589.966113,11583.90621,成都
29,3069.850886,11878.90286,贵阳
30,2880.658524,11435.85129,昆明
31,2535.55462,12701.5539,香港
32,2527.140459,12615.83789,澳门
33,2881.887249,13525.31813,台北
34,2275.400353,12284.10581,海口
